WTeamID,WScore,LTeamID,LScore,WLoc,W_Conf,L_Conf
Siena,62,Fairfield,59,A,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Quinnipiac,60,Fairfield,58,A,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Rider,65,Fairfield,51,A,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Monmouth,69,Fairfield,45,H,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Fairfield,66,Manhattan,50,A,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
Manhattan,61,Fairfield,43,N,Metro Atlantic Athletic Conference,Metro Atlantic Athletic Conference
DePaul,70,Fairleigh Dickinson,59,H,Big East Conference,Northeast Conference
Fordham,53,Fairleigh Dickinson,50,H,Atlantic 10 Conference,Northeast Conference
Army,81,Fairleigh Dickinson,65,H,Patriot League,Northeast Conference
Lafayette,80,Fairleigh Dickinson,75,H,Patriot League,Northeast Conference
Notre Dame,91,Fairleigh Dickinson,66,H,Atlantic Coast Conference,Northeast Conference
Fairleigh Dickinson,78,Quinnipiac,77,H,Northeast Conference,Metro Atlantic Athletic Conference
Kentucky,83,Fairleigh Dickinson,52,H,Southeastern Conference,Northeast Conference
St. Peter's,86,Fairleigh Dickinson,70,H,Metro Atlantic Athletic Conference,Northeast Conference
Princeton,80,Fairleigh Dickinson,65,A,Ivy League,Northeast Conference
La Salle,66,Fairleigh Dickinson,58,H,Atlantic 10 Conference,Northeast Conference
St. Francis (NY),79,Fairleigh Dickinson,63,H,Northeast Conference,Northeast Conference
Fairleigh Dickinson,77,Bryant,73,A,Northeast Conference,Northeast Conference
Sacred Heart,77,Fairleigh Dickinson,75,A,Northeast Conference,Northeast Conference
Long Island University,84,Fairleigh Dickinson,70,H,Northeast Conference,Northeast Conference
St. Francis (PA),100,Fairleigh Dickinson,85,A,Northeast Conference,Northeast Conference
Fairleigh Dickinson,83,Central Connecticut St.,60,H,Northeast Conference,Northeast Conference
Merrimack,74,Fairleigh Dickinson,71,H,Northeast Conference,Northeast Conference
Sacred Heart,77,Fairleigh Dickinson,60,H,Northeast Conference,Northeast Conference
Fairleigh Dickinson,68,Wagner,63,A,Northeast Conference,Northeast Conference
Fairleigh Dickinson,85,Mount St. Mary's,75,H,Northeast Conference,Northeast Conference
Merrimack,57,Fairleigh Dickinson,53,A,Northeast Conference,Northeast Conference
Fairleigh Dickinson,106,Wagner,73,H,Northeast Conference,Northeast Conference
Fairleigh Dickinson,72,Robert Morris,71,A,Northeast Conference,Northeast Conference
Central Connecticut St.,76,Fairleigh Dickinson,75,H,Northeast Conference,Northeast Conference
Long Island University,86,Fairleigh Dickinson,81,A,Northeast Conference,Northeast Conference
Fairleigh Dickinson,75,Robert Morris,70,H,Northeast Conference,Northeast Conference
Fairleigh Dickinson,74,Bryant,72,H,Northeast Conference,Northeast Conference
Fairleigh Dickinson,83,Mount St. Mary's,77,A,Northeast Conference,Northeast Conference
Long Island University,73,Fairleigh Dickinson,72,H,Northeast Conference,Northeast Conference
St. Louis,89,Florida Gulf Coast,67,H,Atlantic 10 Conference,Atlantic Sun Conference
Maryland-Baltimore County,65,Florida Gulf Coast,61,A,America East Conference,Atlantic Sun Conference
Dartmouth,55,Florida Gulf Coast,49,H,Ivy League,Atlantic Sun Conference
Mercer,84,Florida Gulf Coast,68,H,Southern Conference,Atlantic Sun Conference
Florida Gulf Coast,72,Florida Atlantic,70,H,Atlantic Sun Conference,Conference USA
Virginia Commonwealth,78,Florida Gulf Coast,48,H,Atlantic 10 Conference,Atlantic Sun Conference
North Dakota,78,Florida Gulf Coast,63,A,The Summit League,Atlantic Sun Conference
Campbell,51,Florida Gulf Coast,46,A,Big South Conference,Atlantic Sun Conference
Georgia Southern,72,Florida Gulf Coast,57,A,Sun Belt Conference,Atlantic Sun Conference
Florida International,71,Florida Gulf Coast,53,H,Conference USA,Atlantic Sun Conference
Robert Morris,64,Florida Gulf Coast,59,A,Northeast Conference,Atlantic Sun Conference
South Dakota St.,75,Florida Gulf Coast,56,H,The Summit League,Atlantic Sun Conference
Southern California,71,Florida Gulf Coast,58,H,Pacific-12 Conference,Atlantic Sun Conference
Liberty,59,Florida Gulf Coast,46,A,Atlantic Sun Conference,Atlantic Sun Conference
Florida Gulf Coast,68,Lipscomb,61,H,Atlantic Sun Conference,Atlantic Sun Conference
North Florida,89,Florida Gulf Coast,74,H,Atlantic Sun Conference,Atlantic Sun Conference
Florida Gulf Coast,66,Stetson,62,A,Atlantic Sun Conference,Atlantic Sun Conference
Florida Gulf Coast,73,Kennesaw St.,51,H,Atlantic Sun Conference,Atlantic Sun Conference
North Alabama,70,Florida Gulf Coast,65,H,Atlantic Sun Conference,Atlantic Sun Conference
NJIT,56,Florida Gulf Coast,54,A,Atlantic Sun Conference,Atlantic Sun Conference
Florida Gulf Coast,63,Jacksonville,61,A,Atlantic Sun Conference,Atlantic Sun Conference
Liberty,61,Florida Gulf Coast,46,H,Atlantic Sun Conference,Atlantic Sun Conference
Stetson,65,Florida Gulf Coast,62,A,Atlantic Sun Conference,Atlantic Sun Conference
North Florida,69,Florida Gulf Coast,60,A,Atlantic Sun Conference,Atlantic Sun Conference
Florida Gulf Coast,70,Kennesaw St.,58,A,Atlantic Sun Conference,Atlantic Sun Conference
Lipscomb,64,Florida Gulf Coast,54,H,Atlantic Sun Conference,Atlantic Sun Conference
Florida Gulf Coast,55,NJIT,39,A,Atlantic Sun Conference,Atlantic Sun Conference
Florida Gulf Coast,73,Jacksonville,67,H,Atlantic Sun Conference,Atlantic Sun Conference
North Alabama,78,Florida Gulf Coast,73,A,Atlantic Sun Conference,Atlantic Sun Conference
Lipscomb,68,Florida Gulf Coast,63,H,Atlantic Sun Conference,Atlantic Sun Conference
Mississippi St.,77,Florida International,69,H,Southeastern Conference,Conference USA
North Carolina St.,86,Florida International,77,H,Atlantic Coast Conference,Conference USA
Florida International,107,Cleveland St.,61,A,Conference USA,Horizon League
Florida International,89,Eastern Kentucky,70,N,Conference USA,Ohio Valley Conference
North Carolina-Wilmington,66,Florida International,63,N,Colonial Athletic Association,Conference USA
Florida International,70,New Hampshire,69,H,Conference USA,America East Conference
Florida International,71,Florida Gulf Coast,53,H,Conference USA,Atlantic Sun Conference
Florida International,84,Kennesaw St.,81,A,Conference USA,Atlantic Sun Conference
Florida International,83,Stetson,67,A,Conference USA,Atlantic Sun Conference
Minnesota,89,Florida International,62,H,Big Ten Conference,Conference USA
Florida International,69,Texas-El Paso,67,H,Conference USA,Conference USA
Florida International,90,Texas-San Antonio,83,H,Conference USA,Conference USA
North Texas,74,Florida International,56,H,Conference USA,Conference USA
Rice,92,Florida International,78,H,Conference USA,Conference USA
Florida International,93,Alabama-Birmingham,68,H,Conference USA,Conference USA
Florida International,83,Middle Tennessee,69,H,Conference USA,Conference USA
Florida International,83,Old Dominion,80,A,Conference USA,Conference USA
Charlotte,75,Florida International,49,H,Conference USA,Conference USA
Marshall,84,Florida International,74,A,Conference USA,Conference USA
Florida International,81,Western Kentucky,76,H,Conference USA,Conference USA
Florida International,69,Florida Atlantic,50,H,Conference USA,Conference USA
Florida International,66,Florida Atlantic,59,A,Conference USA,Conference USA
Louisiana Tech,60,Florida International,57,H,Conference USA,Conference USA
Southern Mississippi,75,Florida International,67,H,Conference USA,Conference USA
North Texas,78,Florida International,59,A,Conference USA,Conference USA
Florida International,67,Charlotte,52,A,Conference USA,Conference USA
Louisiana Tech,76,Florida International,73,H,Conference USA,Conference USA
Western Kentucky,91,Florida International,85,A,Conference USA,Conference USA
Florida International,85,Rice,76,N,Conference USA,Conference USA
Miami (FL),74,Florida Atlantic,60,H,Atlantic Coast Conference,Conference USA
Alabama,78,Florida Atlantic,59,H,Southeastern Conference,Conference USA
Florida Gulf Coast,72,Florida Atlantic,70,H,Atlantic Sun Conference,Conference USA
Florida Atlantic,87,Holy Cross,69,H,Conference USA,Patriot League
Florida Atlantic,71,Illinois-Chicago,70,H,Conference USA,Horizon League
St. Bonaventure,71,Florida Atlantic,64,A,Atlantic 10 Conference,Conference USA
Florida Atlantic,62,Canisius,59,H,Conference USA,Metro Atlantic Athletic Conference
Florida Atlantic,81,High Point,64,H,Conference USA,Big South Conference
Florida Atlantic,65,Mercer,50,A,Conference USA,Southern Conference
South Florida,60,Florida Atlantic,58,H,American Athletic Conference,Conference USA
Florida Atlantic,79,Texas-San Antonio,64,H,Conference USA,Conference USA
Florida Atlantic,59,Texas-El Paso,56,H,Conference USA,Conference USA
Florida Atlantic,81,Rice,76,A,Conference USA,Conference USA
North Texas,81,Florida Atlantic,58,H,Conference USA,Conference USA
Florida Atlantic,97,Middle Tennessee,94,H,Conference USA,Conference USA
Alabama-Birmingham,68,Florida Atlantic,65,A,Conference USA,Conference USA
Charlotte,70,Florida Atlantic,68,H,Conference USA,Conference USA
Old Dominion,65,Florida Atlantic,55,H,Conference USA,Conference USA
Florida Atlantic,69,Western Kentucky,65,H,Conference USA,Conference USA
Florida Atlantic,91,Marshall,73,H,Conference USA,Conference USA
Florida International,69,Florida Atlantic,50,H,Conference USA,Conference USA
Florida International,66,Florida Atlantic,59,A,Conference USA,Conference USA
Southern Mississippi,68,Florida Atlantic,66,H,Conference USA,Conference USA
Louisiana Tech,81,Florida Atlantic,68,H,Conference USA,Conference USA
Florida Atlantic,65,Alabama-Birmingham,58,H,Conference USA,Conference USA
Florida Atlantic,80,Texas-San Antonio,71,H,Conference USA,Conference USA
Old Dominion,85,Florida Atlantic,80,H,Conference USA,Conference USA
Marshall,94,Florida Atlantic,82,H,Conference USA,Conference USA
Florida Atlantic,66,Old Dominion,56,N,Conference USA,Conference USA
Florida,74,North Florida,59,H,Southeastern Conference,Atlantic Sun Conference
Florida St.,63,Florida,51,A,Atlantic Coast Conference,Southeastern Conference
Florida,66,Towson,60,H,Southeastern Conference,Colonial Athletic Association
Connecticut,62,Florida,59,H,American Athletic Conference,Southeastern Conference
Florida,70,St. Joseph's,62,N,Southeastern Conference,Atlantic 10 Conference
Florida,78,Miami (FL),58,N,Southeastern Conference,Atlantic Coast Conference
Florida,70,Xavier,65,N,Southeastern Conference,Big East Conference
Florida,73,Marshall,67,H,Southeastern Conference,Conference USA
Butler,76,Florida,62,H,Big East Conference,Southeastern Conference
Florida,83,Providence,51,N,Southeastern Conference,Big East Conference
Utah St.,65,Florida,62,N,Mountain West Conference,Southeastern Conference
Florida,102,Cal St. Long Beach,63,H,Southeastern Conference,Big West Conference
Florida,104,Alabama,98,H,Southeastern Conference,Southeastern Conference
Florida,81,South Carolina,68,A,Southeastern Conference,Southeastern Conference
Missouri,91,Florida,75,H,Southeastern Conference,Southeastern Conference
Florida,71,Mississippi,55,H,Southeastern Conference,Southeastern Conference
Florida,69,Auburn,47,H,Southeastern Conference,Southeastern Conference
Louisiana St.,84,Florida,82,H,Southeastern Conference,Southeastern Conference
Baylor,72,Florida,61,A,Big 12 Conference,Southeastern Conference
Mississippi St.,78,Florida,71,A,Southeastern Conference,Southeastern Conference
Florida,61,Vanderbilt,55,A,Southeastern Conference,Southeastern Conference
Florida,81,Georgia,75,H,Southeastern Conference,Southeastern Conference
Mississippi,68,Florida,51,H,Southeastern Conference,Southeastern Conference
Florida,78,Texas A&M,61,A,Southeastern Conference,Southeastern Conference
Florida,84,Vanderbilt,66,H,Southeastern Conference,Southeastern Conference
Florida,73,Arkansas,59,H,Southeastern Conference,Southeastern Conference
Kentucky,65,Florida,59,H,Southeastern Conference,Southeastern Conference
Florida,81,Louisiana St.,66,H,Southeastern Conference,Southeastern Conference
Tennessee,63,Florida,58,H,Southeastern Conference,Southeastern Conference
Florida,68,Georgia,54,A,Southeastern Conference,Southeastern Conference
Kentucky,71,Florida,70,A,Southeastern Conference,Southeastern Conference
Southern California,77,Florida A&M,48,H,Pacific-12 Conference,Mid-Eastern Athletic Conference
Hawaii,65,Florida A&M,52,H,Big West Conference,Mid-Eastern Athletic Conference
Pacific,76,Florida A&M,54,N,West Coast Conference,Mid-Eastern Athletic Conference
South Dakota,85,Florida A&M,82,N,The Summit League,Mid-Eastern Athletic Conference
Seton Hall,87,Florida A&M,51,H,Big East Conference,Mid-Eastern Athletic Conference
Kansas St.,76,Florida A&M,58,H,Big 12 Conference,Mid-Eastern Athletic Conference
Tennessee,72,Florida A&M,43,H,Southeastern Conference,Mid-Eastern Athletic Conference
Portland,66,Florida A&M,60,H,West Coast Conference,Mid-Eastern Athletic Conference
Washington St.,87,Florida A&M,73,H,Pacific-12 Conference,Mid-Eastern Athletic Conference
Florida A&M,71,Seattle,57,A,Mid-Eastern Athletic Conference,Western Athletic Conference
Florida A&M,70,Iowa St.,68,A,Mid-Eastern Athletic Conference,Big 12 Conference
North Carolina Central,61,Florida A&M,45,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
North Carolina A&T,97,Florida A&M,90,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,77,Morgan St.,68,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,65,Coppin St.,54,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
South Carolina St.,81,Florida A&M,65,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,66,North Carolina Central,57,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,87,Howard,83,A,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Norfolk St.,95,Florida A&M,67,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,73,Bethune-Cookman,67,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,82,Howard,78,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,79,North Carolina A&T,60,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,97,Delaware St.,95,A,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Maryland-Eastern Shore,81,Florida A&M,71,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,66,Norfolk St.,63,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Florida A&M,62,South Carolina St.,56,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Bethune-Cookman,72,Florida A&M,70,H,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference
Pittsburgh,63,Florida St.,61,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,63,Florida,51,A,Atlantic Coast Conference,Southeastern Conference
Florida St.,79,Western Carolina,74,H,Atlantic Coast Conference,Southern Conference
Florida St.,89,Chattanooga,53,H,Atlantic Coast Conference,Southern Conference
Florida St.,80,St. Francis (PA),65,H,Atlantic Coast Conference,Northeast Conference
Florida St.,113,Chicago St.,56,H,Atlantic Coast Conference,Western Athletic Conference
Florida St.,60,Tennessee,57,N,Atlantic Coast Conference,Southeastern Conference
Florida St.,63,Purdue,60,N,Atlantic Coast Conference,Big Ten Conference
Indiana,80,Florida St.,64,H,Big Ten Conference,Atlantic Coast Conference
Florida St.,72,Clemson,53,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,98,North Florida,81,H,Atlantic Coast Conference,Atlantic Sun Conference
Florida St.,66,South Florida,60,N,Atlantic Coast Conference,American Athletic Conference
Florida St.,88,North Alabama,71,H,Atlantic Coast Conference,Atlantic Sun Conference
Florida St.,70,Georgia Tech,58,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,78,Louisville,65,A,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,78,Wake Forest,68,A,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,54,Virginia,50,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,83,Miami (FL),79,A,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,85,Notre Dame,84,H,Atlantic Coast Conference,Atlantic Coast Conference
Virginia,61,Florida St.,56,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,74,Virginia Tech,63,A,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,65,North Carolina,59,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,99,Miami (FL),81,H,Atlantic Coast Conference,Atlantic Coast Conference
Duke,70,Florida St.,65,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,80,Syracuse,77,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,82,Pittsburgh,67,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,67,North Carolina St.,61,A,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,82,Louisville,67,H,Atlantic Coast Conference,Atlantic Coast Conference
Clemson,70,Florida St.,69,H,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,73,Notre Dame,71,A,Atlantic Coast Conference,Atlantic Coast Conference
Florida St.,80,Boston College,62,H,Atlantic Coast Conference,Atlantic Coast Conference
Fordham,68,St. Francis (NY),59,H,Atlantic 10 Conference,Northeast Conference
Fordham,53,Fairleigh Dickinson,50,H,Atlantic 10 Conference,Northeast Conference
Fordham,58,Marist,41,H,Atlantic 10 Conference,Metro Atlantic Athletic Conference
Nevada,74,Fordham,60,N,Mountain West Conference,Atlantic 10 Conference
Fordham,70,Grand Canyon,58,N,Atlantic 10 Conference,Western Athletic Conference
Western Kentucky,69,Fordham,64,N,Conference USA,Atlantic 10 Conference
Fordham,66,Maryland-Eastern Shore,45,H,Atlantic 10 Conference,Mid-Eastern Athletic Conference
Manhattan,54,Fordham,53,A,Metro Atlantic Athletic Conference,Atlantic 10 Conference
Bryant,69,Fordham,61,A,Northeast Conference,Atlantic 10 Conference
Tennessee St.,66,Fordham,61,A,Ohio Valley Conference,Atlantic 10 Conference
James Madison,75,Fordham,69,A,Colonial Athletic Association,Atlantic 10 Conference
Fordham,62,Coppin St.,56,H,Atlantic 10 Conference,Mid-Eastern Athletic Conference
Virginia Commonwealth,64,Fordham,46,H,Atlantic 10 Conference,Atlantic 10 Conference
La Salle,66,Fordham,60,A,Atlantic 10 Conference,Atlantic 10 Conference
St. Bonaventure,64,Fordham,44,H,Atlantic 10 Conference,Atlantic 10 Conference
Duquesne,58,Fordham,56,H,Atlantic 10 Conference,Atlantic 10 Conference
Davidson,74,Fordham,62,A,Atlantic 10 Conference,Atlantic 10 Conference
Fordham,59,George Washington,54,H,Atlantic 10 Conference,Atlantic 10 Conference
St. Louis,55,Fordham,39,H,Atlantic 10 Conference,Atlantic 10 Conference
St. Bonaventure,62,Fordham,55,A,Atlantic 10 Conference,Atlantic 10 Conference
Dayton,70,Fordham,56,H,Atlantic 10 Conference,Atlantic 10 Conference
Richmond,59,Fordham,53,A,Atlantic 10 Conference,Atlantic 10 Conference
Davidson,79,Fordham,49,H,Atlantic 10 Conference,Atlantic 10 Conference
Duquesne,59,Fordham,54,A,Atlantic 10 Conference,Atlantic 10 Conference
La Salle,58,Fordham,49,H,Atlantic 10 Conference,Atlantic 10 Conference
Massachusetts,57,Fordham,49,A,Atlantic 10 Conference,Atlantic 10 Conference
Rhode Island,76,Fordham,75,A,Atlantic 10 Conference,Atlantic 10 Conference
St. Joseph's,73,Fordham,69,H,Atlantic 10 Conference,Atlantic 10 Conference
Fordham,63,George Washington,52,A,Atlantic 10 Conference,Atlantic 10 Conference
George Mason,65,Fordham,61,A,Atlantic 10 Conference,Atlantic 10 Conference
Fordham,72,George Washington,52,N,Atlantic 10 Conference,Atlantic 10 Conference
Oregon,71,Fresno St.,57,H,Pacific-12 Conference,Mountain West Conference
Fresno St.,77,Winthrop,74,H,Mountain West Conference,Big South Conference
San Diego,72,Fresno St.,66,H,West Coast Conference,Mountain West Conference
St. Mary's (CA),68,Fresno St.,58,N,West Coast Conference,Mountain West Conference
Cal St. Northridge,73,Fresno St.,72,H,Big West Conference,Mountain West Conference
Nevada-Las Vegas,81,Fresno St.,80,A,Mountain West Conference,Mountain West Conference
Utah St.,77,Fresno St.,70,H,Mountain West Conference,Mountain West Conference
University of California,69,Fresno St.,63,H,Pacific-12 Conference,Mountain West Conference
Fresno St.,62,Cal Poly,37,A,Mountain West Conference,Big West Conference
Fresno St.,95,IUPUI,64,H,Mountain West Conference,Horizon League
San Francisco,71,Fresno St.,69,A,West Coast Conference,Mountain West Conference
UC-Riverside,60,Fresno St.,57,A,Big West Conference,Mountain West Conference
San Diego St.,61,Fresno St.,52,H,Mountain West Conference,Mountain West Conference
Fresno St.,79,San Jose St.,64,H,Mountain West Conference,Mountain West Conference
New Mexico,78,Fresno St.,64,H,Mountain West Conference,Mountain West Conference
San Diego St.,64,Fresno St.,55,A,Mountain West Conference,Mountain West Conference
Fresno St.,65,Wyoming,50,A,Mountain West Conference,Mountain West Conference
Colorado St.,86,Fresno St.,68,H,Mountain West Conference,Mountain West Conference
Boise St.,87,Fresno St.,53,A,Mountain West Conference,Mountain West Conference
Fresno St.,79,Air Force,68,A,Mountain West Conference,Mountain West Conference
Fresno St.,82,New Mexico,77,H,Mountain West Conference,Mountain West Conference
Colorado St.,80,Fresno St.,70,A,Mountain West Conference,Mountain West Conference
Nevada-Las Vegas,68,Fresno St.,67,H,Mountain West Conference,Mountain West Conference
Fresno St.,84,San Jose St.,78,A,Mountain West Conference,Mountain West Conference
Utah St.,71,Fresno St.,59,A,Mountain West Conference,Mountain West Conference
Fresno St.,71,Air Force,62,H,Mountain West Conference,Mountain West Conference
Nevada,78,Fresno St.,76,H,Mountain West Conference,Mountain West Conference
Fresno St.,63,Wyoming,55,H,Mountain West Conference,Mountain West Conference
Air Force,77,Fresno St.,70,N,Mountain West Conference,Mountain West Conference
Furman,70,Gardner-Webb,63,A,Southern Conference,Big South Conference
Furman,87,Loyola (IL),63,H,Southern Conference,Missouri Valley Conference
Furman,91,Charleston Southern,47,A,Southern Conference,Big South Conference
Alabama,81,Furman,73,H,Southeastern Conference,Southern Conference
Furman,97,Elon,61,A,Southern Conference,Colonial Athletic Association
Furman,58,Texas-Arlington,57,N,Southern Conference,Sun Belt Conference
South Florida,65,Furman,55,H,American Athletic Conference,Southern Conference
Auburn,81,Furman,78,H,Southeastern Conference,Southern Conference
Furman,84,South Carolina Upstate,72,H,Southern Conference,Big South Conference
Furman,80,Winthrop,73,H,Southern Conference,Big South Conference
Furman,64,Mercer,62,A,Southern Conference,Southern Conference
Furman,89,Virginia Military Institute,73,A,Southern Conference,Southern Conference
Furman,65,East Tennessee St.,56,H,Southern Conference,Southern Conference
Furman,73,Chattanooga,66,A,Southern Conference,Southern Conference
North Carolina-Greensboro,86,Furman,73,A,Southern Conference,Southern Conference
Furman,83,Western Carolina,79,H,Southern Conference,Southern Conference
Wofford,66,Furman,52,H,Southern Conference,Southern Conference
Furman,101,Samford,78,H,Southern Conference,Southern Conference
Furman,78,Citadel,54,A,Southern Conference,Southern Conference
Furman,74,Virginia Military Institute,72,H,Southern Conference,Southern Conference
Furman,79,Mercer,57,H,Southern Conference,Southern Conference
Furman,82,Western Carolina,73,A,Southern Conference,Southern Conference
Furman,86,Samford,71,A,Southern Conference,Southern Conference
Furman,58,Chattanooga,53,H,Southern Conference,Southern Conference
East Tennessee St.,75,Furman,66,H,Southern Conference,Southern Conference
Furman,67,Wofford,66,H,Southern Conference,Southern Conference
Furman,81,North Carolina-Greensboro,67,A,Southern Conference,Southern Conference
Furman,82,Citadel,58,H,Southern Conference,Southern Conference
Wofford,77,Furman,68,N,Southern Conference,Southern Conference
Auburn,83,Georgia Southern,74,H,Southeastern Conference,Sun Belt Conference
North Florida,80,Georgia Southern,77,H,Atlantic Sun Conference,Sun Belt Conference
Georgia Southern,76,Radford,73,H,Sun Belt Conference,Big South Conference
Georgia Southern,98,Mercer,88,H,Sun Belt Conference,Southern Conference
Georgia Southern,84,Campbell,74,N,Sun Belt Conference,Big South Conference
North Dakota,80,Georgia Southern,68,N,The Summit League,Sun Belt Conference
Georgia Southern,72,Florida Gulf Coast,57,A,Sun Belt Conference,Atlantic Sun Conference
Bradley,81,Georgia Southern,51,H,Missouri Valley Conference,Sun Belt Conference
Georgia Southern,67,Texas St.,64,H,Sun Belt Conference,Sun Belt Conference
Georgia Southern,77,Texas-Arlington,74,H,Sun Belt Conference,Sun Belt Conference
Georgia,73,Georgia Southern,64,H,Southeastern Conference,Sun Belt Conference
Georgia Southern,70,Coastal Carolina,67,A,Sun Belt Conference,Sun Belt Conference
Appalachian St.,74,Georgia Southern,72,H,Sun Belt Conference,Sun Belt Conference
Little Rock,79,Georgia Southern,73,H,Sun Belt Conference,Sun Belt Conference
Georgia Southern,67,Louisiana-Monroe,56,H,Sun Belt Conference,Sun Belt Conference
Georgia Southern,71,Louisiana,51,H,Sun Belt Conference,Sun Belt Conference
Georgia Southern,82,Troy,66,A,Sun Belt Conference,Sun Belt Conference
South Alabama,74,Georgia Southern,68,H,Sun Belt Conference,Sun Belt Conference
Georgia St.,82,Georgia Southern,77,A,Sun Belt Conference,Sun Belt Conference
Georgia Southern,86,Troy,57,H,Sun Belt Conference,Sun Belt Conference
South Alabama,79,Georgia Southern,69,A,Sun Belt Conference,Sun Belt Conference
Georgia Southern,67,Louisiana-Monroe,65,A,Sun Belt Conference,Sun Belt Conference
Georgia Southern,86,Louisiana,79,A,Sun Belt Conference,Sun Belt Conference
Georgia Southern,79,Coastal Carolina,69,H,Sun Belt Conference,Sun Belt Conference
Appalachian St.,62,Georgia Southern,57,A,Sun Belt Conference,Sun Belt Conference
Texas St.,70,Georgia Southern,55,H,Sun Belt Conference,Sun Belt Conference
Georgia Southern,81,Texas-Arlington,61,A,Sun Belt Conference,Sun Belt Conference
Georgia Southern,79,Georgia St.,70,A,Sun Belt Conference,Sun Belt Conference
Arkansas St.,76,Georgia Southern,75,A,Sun Belt Conference,Sun Belt Conference
Georgia Southern,82,Louisiana,81,H,Sun Belt Conference,Sun Belt Conference
Georgia Southern,81,Georgia St.,62,A,Sun Belt Conference,Sun Belt Conference
Furman,70,Gardner-Webb,63,A,Southern Conference,Big South Conference
Western Carolina,71,Gardner-Webb,59,H,Southern Conference,Big South Conference
North Carolina,77,Gardner-Webb,61,H,Atlantic Coast Conference,Big South Conference
Wichita St.,74,Gardner-Webb,52,H,American Athletic Conference,Big South Conference
South Carolina,74,Gardner-Webb,69,H,Southeastern Conference,Big South Conference
Gardner-Webb,81,Tennessee-Martin,64,N,Big South Conference,Ohio Valley Conference
Gardner-Webb,67,Northern Colorado,62,N,Big South Conference,Big Sky Conference
Wofford,81,Gardner-Webb,77,H,Southern Conference,Big South Conference
Kennesaw St.,85,Gardner-Webb,61,H,Atlantic Sun Conference,Big South Conference
Virginia Tech,73,Gardner-Webb,46,H,Atlantic Coast Conference,Big South Conference
Gardner-Webb,67,Campbell,65,A,Big South Conference,Big South Conference
Presbyterian,68,Gardner-Webb,62,A,Big South Conference,Big South Conference
Radford,67,Gardner-Webb,64,A,Big South Conference,Big South Conference
Winthrop,99,Gardner-Webb,95,H,Big South Conference,Big South Conference
Gardner-Webb,83,South Carolina Upstate,67,H,Big South Conference,Big South Conference
Gardner-Webb,81,Hampton,67,H,Big South Conference,Big South Conference
Gardner-Webb,79,High Point,76,A,Big South Conference,Big South Conference
Charleston Southern,92,Gardner-Webb,83,A,Big South Conference,Big South Conference
Gardner-Webb,70,North Carolina-Asheville,56,A,Big South Conference,Big South Conference
Longwood,84,Gardner-Webb,81,A,Big South Conference,Big South Conference
Presbyterian,65,Gardner-Webb,61,H,Big South Conference,Big South Conference
Gardner-Webb,88,South Carolina Upstate,57,A,Big South Conference,Big South Conference
Gardner-Webb,86,High Point,55,H,Big South Conference,Big South Conference
Gardner-Webb,74,Winthrop,70,H,Big South Conference,Big South Conference
Hampton,87,Gardner-Webb,77,H,Big South Conference,Big South Conference
